t,h,date,lon,lat,v,d_m,active_phases,time_interval
0.0,0.01,2023-07-01 12:00:00,-80.5772,28.562,0.0,,[],[]
20.30000000000002,0.9990975279681197,2023-07-01 12:00:20,-80.5772,28.562,102.20056001189216,44865.296249361476,['Phase_1'],"[[0.0, 20.3]]"
28.20000000000013,1.9935813614895295,2023-07-01 12:00:28,-80.5772,28.562,150.4594188810966,17459.89361428353,['Phase_1'],"[[20.3, 28.2]]"
34.100000000000215,2.9967720913722213,2023-07-01 12:00:34,-80.5772,28.562,190.14976180854572,13039.667382819345,['Phase_1'],"[[28.2, 34.1]]"
38.90000000000028,3.992031402155752,2023-07-01 12:00:38,-80.5772,28.562,224.92480300267695,10608.542955514044,['Phase_1'],"[[34.1, 38.9]]"
43.00000000000034,4.978332847689688,2023-07-01 12:00:42,-80.5772,28.562,256.4902068987738,9061.463774501579,['Phase_1'],"[[38.9, 43.0]]"
46.700000000000394,5.979633573297018,2023-07-01 12:00:46,-80.57678410379437,28.562415896205625,286.60895784854426,8177.418528208742,['Phase_1'],"[[43.0, 46.7]]"
50.10000000000044,6.985602694727465,2023-07-01 12:00:50,-80.57558458823851,28.56361541176085,316.0917812169287,7514.384593489114,['Phase_1'],"[[46.7, 50.1]]"
53.30000000000049,7.997799506106499,2023-07-01 12:00:53,-80.57370227665848,28.565497723335014,343.22331546052607,7072.361970342696,['Phase_1'],"[[50.1, 53.3]]"
56.30000000000053,8.995392792310655,2023-07-01 12:00:56,-80.57125638329069,28.567943616677333,370.17700282320374,6630.339347196277,['Phase_1'],"[[53.3, 56.3]]"
59.10000000000057,9.967413472089019,2023-07-01 12:00:59,-80.56835929095072,28.570840708944043,397.19809392731946,6188.316724049859,['Phase_1'],"[[56.3, 59.1]]"
61.90000000000061,10.978353993748218,2023-07-01 12:01:01,-80.56485107587616,28.57434892383703,426.0724185006942,6188.316724049859,['Phase_1'],"[[59.1, 61.9]]"
64.6000000000006,11.971809985398831,2023-07-01 12:01:04,-80.56094259145972,28.57825740788584,439.59061275758575,5967.3054124766495,['Phase_1'],"[[61.9, 64.6]]"
67.30000000000045,12.964357031239823,2023-07-01 12:01:07,-80.55658679230098,28.58261320636501,454.4004805400597,5967.3054124766495,['Phase_1'],"[[64.6, 67.3]]"
70.10000000000029,13.994085009481477,2023-07-01 12:01:10,-80.5515914918638,28.587608505578345,471.47058634058897,6188.316724049859,['Phase_1'],"[[67.3, 70.1]]"
72.70000000000014,14.9686394379207,2023-07-01 12:01:12,-80.54642321464267,28.592776780917216,505.5250764394652,5746.29410090344,['Phase_1'],"[[70.1, 72.7]]"
75.3,15.979284839461384,2023-07-01 12:01:15,-80.54063849227718,28.598561500278986,541.3079303113141,5746.29410090344,['Phase_1'],"[[72.7, 75.3]]"
77.79999999999986,16.98581612552989,2023-07-01 12:01:17,-80.53447712403776,28.604722864085257,577.2916823943956,5525.282789330231,['Phase_1'],"[[75.3, 77.8]]"
80.19999999999972,17.984883900081183,2023-07-01 12:01:20,-80.52799299668497,28.611206985168018,613.2891728754242,5304.271477757022,['Phase_1'],"[[77.8, 80.2]]"
82.49999999999959,18.973180880562932,2023-07-01 12:01:22,-80.5212407084054,28.61795926490507,649.1184474992542,5083.2601661838125,['Phase_1'],"[[80.2, 82.5]]"
